biopsy_location,accuracy,uncertainty
head_neck,0.5,0.3240351824762653
lower_extremity,0.75,0.28744321300236336
trunk,0.801980198019802,0.18859459116116847
unknown,0.7142857142857143,0.31241516706715583
upper_extremity,0.7575757575757576,0.2948652549753461
